,tweet_id,age,author,tagged_authors
167,1717255874094235970,30292,_knshoujo,NA
168,1717255732691980589,30326,Nintendeal,NA
169,1717255393045348748,30407,ImaginaryCanvas,NA
170,1717255009581388087,30499,Nintendeal,NA
171,1717254704055320736,30571,NinWire,NA
172,1717254479114846400,30625,deadlyclaris,NA
173,1717253893090881606,30765,Obviouslywaffle,NA
174,1717253893090881606,30765,deadlyclaris,NA
175,1717253798211600427,30787,SockFlower,NA
176,1717253540417073365,30849,G_R_S__,NA
177,1717253540417073365,30849,petalxdance,NA
178,1717253454500941888,30869,G_R_S__,NA
179,1717253162044711196,30939,shiiqingxuans,NA
180,1717249972264227138,31699,Nintendeal,NA
181,1717248292931678542,32100,Ayo_D5,NA
182,1717248281275740271,32103,tont_to,NA
183,1717248249537376616,32110,Ms_HiromaRika,NA
184,1717248239064289775,32113,N_KuroYami,NA
185,1717248226246418580,32116,minaduki964,NA
186,1717248226246418580,32116,minaduki964,NA
187,1717248212635992276,32119,amedama094,NA
188,1717245427945210319,32783,petalxdance,NA
189,1717248205698498601,32121,ablacksunset,NA
190,1717248122882265289,32140,Nintendeal,NA
191,1717247040302846302,32399,i6gumang,NA
192,1717245966141870592,32655,Nintendeal,NA
193,1717245842803875960,32684,cresfeather,NA
194,1717245171748794704,32844,rat_wacky,NA
195,1717244991100064216,32887,cresfeather,NA
196,1717244542410223778,32994,SpiritusLullaby,NA
197,1717242800142516425,33409,ETHANWlNTERS,NA
198,1717241682251731033,33676,Rrrrnessa,NA
199,1717241404634943937,33742,AlnaouqA,NA
