,tweet_id,age,author
137,1717285251981205738,23288,LunaNoctuArts
138,1717284899663597657,23372,NinWire
139,1717284745862652160,23409,suyapipi_
140,1717277609342701846,25110,NinEverything
141,1717276213612314970,25443,sanriodaily
142,1717275995542089729,25495,WebDesignMuseum
143,1717275931436552446,25510,TheeDanniee
144,1717275724766425295,25560,image_origins
145,1717274316922904734,25895,saihahas
146,1717273614846927149,26063,JawsClawsPaws
147,1717273003430474022,26208,ETHANWlNTERS
148,1717273000423403826,26209,ghostpotion_art
149,1717272972610920867,26216,p9qx1
150,1717269802148929732,26972,NinWire
151,1717263941909299467,28369,shynyn106615
152,1717263911580311731,28376,shynyn106615
153,1717263101609889959,28569,hualianful
154,1717263068780978394,28577,withhualian
155,1717262506521940272,28711,gremlinyibito
156,1717262388443959660,28739,ggang_gr
157,1717255590156595613,30360,gomanga
158,1717262251735110127,28772,NinWire
159,1717261835643113550,28871,i6gumang
160,1717261669947023757,28911,swcozy
161,1717260234698154444,29253,chuanaye
162,1717253202591068193,30929,deadlyclaris
163,1717259595775987725,29405,adsk4
164,1717259549424431489,29416,chuanaye
165,1717257901734072801,29809,ETHANWlNTERS
166,1717255874094235970,30292,gomanga
167,1717255874094235970,30292,_knshoujo
168,1717255732691980589,30326,Nintendeal
169,1717255393045348748,30407,ImaginaryCanvas
170,1717255009581388087,30499,Nintendeal
171,1717254704055320736,30571,NinWire
172,1717254479114846400,30625,deadlyclaris
173,1717253893090881606,30765,Obviouslywaffle
174,1717253893090881606,30765,deadlyclaris
175,1717253798211600427,30787,SockFlower
176,1717253540417073365,30849,G_R_S__
177,1717253540417073365,30849,petalxdance
178,1717253454500941888,30869,G_R_S__
179,1717253162044711196,30939,shiiqingxuans
180,1717249972264227138,31699,Nintendeal
181,1717248292931678542,32100,Ayo_D5
182,1717248281275740271,32103,tont_to
183,1717248249537376616,32110,Ms_HiromaRika
184,1717248239064289775,32113,N_KuroYami
185,1717248226246418580,32116,minaduki964
186,1717248226246418580,32116,minaduki964
187,1717248212635992276,32119,amedama094
188,1717245427945210319,32783,petalxdance
189,1717248205698498601,32121,ablacksunset
190,1717248122882265289,32140,Nintendeal
191,1717247040302846302,32399,i6gumang
192,1717245966141870592,32655,Nintendeal
193,1717245842803875960,32684,cresfeather
194,1717245171748794704,32844,rat_wacky
195,1717244991100064216,32887,cresfeather
196,1717244542410223778,32994,SpiritusLullaby
197,1717242800142516425,33409,ETHANWlNTERS
198,1717241682251731033,33676,Rrrrnessa
199,1717241404634943937,33742,AlnaouqA
