,Users,Items,TweetID,Age,rating_age
2359,SAMPLE,politicalwire.com,1772427067981811958,62040,0.26069400901582696
2360,SAMPLE,politicalwire.com,1772426838758863108,62094,0.26038912825960137
2361,SAMPLE,politicalwire.com,1772426838758863108,62094,0.26038912825960137
2362,SAMPLE,politico.com,1772444669240111376,57843,0.28551552540809066
2363,SAMPLE,politico.com,1772444669240111376,57843,0.28551552540809066
2364,SAMPLE,politico.com,1772444669240111376,57843,0.28551552540809066
2365,SAMPLE,politico.com,1773163415638286560,59281,0.2767556317395866
2366,SAMPLE,politico.com,1773163415638286560,59281,0.2767556317395866
2367,SAMPLE,politicususa.com,1773564148019810496,50139,0.3373909101002065
2368,SAMPLE,politicususa.com,1773201179343790280,50277,0.33638346234280136
2369,SAMPLE,politicususa.com,1772474855109066789,50646,0.33370438607056474
2370,SAMPLE,politicususa.com,1771744338571079774,52015,0.32395002960964614
2371,SAMPLE,politicususa.com,1773178734289244464,55629,0.29954774722367683
2372,SAMPLE,popsci.com,1773199045823025322,50786,0.3326935269953847
2373,SAMPLE,popsci.com,1773199045823025322,50786,0.3326935269953847
2374,SAMPLE,popsci.com,1772470725271560387,51631,0.3266569577383878
2375,SAMPLE,popsci.com,1772470725271560387,51631,0.3266569577383878
2376,SAMPLE,popsci.com,1773184845767664044,54171,0.3091630212771311
2377,SAMPLE,post-gazette.com,1772448399955993081,56954,0.2910692040920519
2378,SAMPLE,post-gazette.com,1772448399955993081,56954,0.2910692040920519
2379,SAMPLE,post-gazette.com,1773172175282876917,57192,0.2895718895354629
2380,SAMPLE,post-gazette.com,1773172175282876917,57192,0.2895718895354629
2381,SAMPLE,post-gazette.com,1772443376547238017,58151,0.283616235719487
2382,SAMPLE,poststar.com,1773186508767232161,53775,0.3118274662283825
2383,SAMPLE,poststar.com,1773186508767232161,53775,0.3118274662283825
2384,SAMPLE,poststar.com,1772440595719430587,58814,0.2795705901849755
2385,SAMPLE,poststar.com,1772440595719430587,58814,0.2795705901849755
2386,SAMPLE,powerofpositivity.com,1772473668964118556,50929,0.3316641678131288
2387,SAMPLE,powerofpositivity.com,1772473668964118556,50929,0.3316641678131288
2388,SAMPLE,powerofpositivity.com,1773198398402813991,50940,0.331585118380375
2389,SAMPLE,powerofpositivity.com,1773198398402813991,50940,0.331585118380375
2390,SAMPLE,powerofpositivity.com,1771748826115686801,50945,0.3315491930486606
2391,SAMPLE,prageru.com,1772324373396951349,124,0.9973165246982117
2392,SAMPLE,prageru.com,1772685462101958783,434,0.9906392987357517
2393,SAMPLE,prageru.com,1772322859106332746,485,0.9895450777366718
2394,SAMPLE,prageru.com,1772322674934489239,529,0.9886020151642961
2395,SAMPLE,prageru.com,1772322558790221905,557,0.9880023524417485
2396,SAMPLE,press-citizen.com,1772451363017879569,56247,0.29556292449294946
2397,SAMPLE,pressconnects.com,1772457958753915130,54675,0.3058048108776971
2398,SAMPLE,pressconnects.com,1772457958753915130,54675,0.3058048108776971
2399,SAMPLE,pressconnects.com,1773177198670688522,55995,0.29718136269843864
2400,SAMPLE,pressconnects.com,1773177198670688522,55995,0.29718136269843864
2401,SAMPLE,pressenterprise.com,1772474979462099148,50617,0.33391416200341956
2402,SAMPLE,pressenterprise.com,1772474979462099148,50617,0.33391416200341956
2403,SAMPLE,pressenterprise.com,1771749280128041213,50837,0.33232604688031064
2404,SAMPLE,pressenterprise.com,1771749280128041213,50837,0.33232604688031064
2405,SAMPLE,pressenterprise.com,1771748114614964613,51115,0.3303300449324381
2406,SAMPLE,pressenza.com,1772448711307661327,56880,0.2915363316801248
2407,SAMPLE,pressenza.com,1772448711307661327,56880,0.2915363316801248
2408,SAMPLE,pressenza.com,1772448711307661327,56880,0.2915363316801248
2409,SAMPLE,pressenza.com,1773170154815345113,57674,0.28656306681593835
2410,SAMPLE,pressenza.com,1773170154815345113,57674,0.28656306681593835
2411,SAMPLE,pressofatlanticcity.com,1773184753589432600,54193,0.3090156659014525
2412,SAMPLE,pressofatlanticcity.com,1773184753589432600,54193,0.3090156659014525
2413,SAMPLE,pressofatlanticcity.com,1771707264711201103,60854,0.2674808518933041
2414,SAMPLE,pressofatlanticcity.com,1771707264711201103,60854,0.2674808518933041
2415,SAMPLE,presstelegram.com,1772475023304880136,50606,0.33399376667694575
2416,SAMPLE,presstelegram.com,1772475023304880136,50606,0.33399376667694575
2417,SAMPLE,presstelegram.com,1771749109688422655,50878,0.33203091603433527
2418,SAMPLE,presstelegram.com,1771749109688422655,50878,0.33203091603433527
2419,SAMPLE,presstelegram.com,1771748525988061294,51017,0.3310322996416442
2420,SAMPLE,prismreports.org,1771714048456863946,59237,0.27701963876565405
2421,SAMPLE,prismreports.org,1771714048456863946,59237,0.27701963876565405
2422,SAMPLE,puck.news,1771734934794993985,54257,0.30858739494085224
2423,SAMPLE,puck.news,1772436054890447148,59897,0.27308584317750484
2424,SAMPLE,puck.news,1772436054890447148,59897,0.27308584317750484
2425,SAMPLE,puck.news,1772425486309753174,62417,0.2585729200609298
2426,SAMPLE,puck.news,1772425486309753174,62417,0.2585729200609298
2427,SAMPLE,purdueexponent.org,1771356738400199158,58026,0.28438552328302885
2428,SAMPLE,purdueexponent.org,1771356738400199158,58026,0.28438552328302885
2429,SAMPLE,purdueexponent.org,1772435646902112632,59994,0.2725124218544047
2430,SAMPLE,purdueexponent.org,1772435646902112632,59994,0.2725124218544047
2431,SAMPLE,purdueexponent.org,1772435499325497622,60030,0.2722999121861755
2432,SAMPLE,quantamagazine.org,1773202755366039708,49901,0.3391354866257948
2433,SAMPLE,quantamagazine.org,1773202755366039708,49901,0.3391354866257948
2434,SAMPLE,quantamagazine.org,1773202755366039708,49901,0.3391354866257948
2435,SAMPLE,quantamagazine.org,1771702045138985243,62099,0.26036091660205396
2436,SAMPLE,quantamagazine.org,1771702045138985243,62099,0.26036091660205396
